,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Assay Type,Assay Description,Assay Organism,Assay Variant Mutation,Target Name,Target Organism,Document Journal,pChEMBL,Canonical_Smiles
361,CHEMBL1167,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O,IC50,'=',990.0,nM,6.0,,F,Inhibition of bacterial protein synthesis in cell-free Escherichia coli incubated for 1 hr and measured for every 20 mins by bacterial cell-free transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,6.00436480540245,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
46,CHEMBL249079,CNc1n[nH]c2c1CCCc1cc(N3C[C@H](CNC(C)=O)OC3=O)ccc1-2,IC50,'=',1000.0,nM,6.0,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CNc1n[nH]c2c1CCCc1cc(N3C[C@H](CNC(C)=O)OC3=O)ccc1-2
383,CHEMBL3261881,CC(C)=CCC/C(C)=C/COCCNC1C2CC3CC(C2)CC1C3,IC50,'=',1000.0,nM,6.0,,F,Induction of collapse in deltapH in Escherichia coli inverted membrane vesicles by 31P NMR spectroscopy,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,6.0,CC(C)=CCC/C(C)=C/COCCNC1C2CC3CC(C2)CC1C3
449,CHEMBL4172631,C[C@H](O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN,IC50,'=',1000.0,nM,6.0,,F,Inhibition of bacterial protein synthesis in cell-free Escherichia coli incubated for 1 hr and measured for every 20 mins by bacterial cell-free transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,6.0,C[C@H](O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN
973,CHEMBL441212,Cc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(Nc3nc(N4C[C@H](N)C[C@H](N)C4)nc(N4C[C@H](CN)C[C@H](CN)C4)n3)cc2O)cc1,IC50,'=',1000.0,nM,6.0,,F,Inhibition of protein synthesis in Escherichia coli by coupled transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,Cc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(Nc3nc(N4C[C@H](N)C[C@H](N)C4)nc(N4C[C@H](CN)C[C@H](CN)C4)n3)cc2O)cc1
1435,CHEMBL78628,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN,IC50,'=',1000.0,nM,6.0,,F,Inhibitory activity against protein synthesis of Escherichia coli S30 by cell-free transcription/translation coupled assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN
976,CHEMBL396495,Cc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(Nc3nc(N(CCN)CCN)nc(N4C[C@H](N)C[C@H](N)C4)n3)cc2O)cc1,IC50,'=',1000.0,nM,6.0,,F,Inhibition of protein synthesis in Escherichia coli by coupled transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,Cc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(Nc3nc(N(CCN)CCN)nc(N4C[C@H](N)C[C@H](N)C4)n3)cc2O)cc1
590,CHEMBL543371,Br.Cc1csc(NC2=NCC(N(C)C(=O)C[C@@H](N)CCCCN)C(=O)N2)n1,IC50,'=',1000.0,nM,6.0,,F,Inhibitory activity tested against procaryotic translation in Escherichia coli S30 Extract System,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,Br.Cc1csc(NC2=NCC(N(C)C(=O)C[C@@H](N)CCCCN)C(=O)N2)n1
543,CHEMBL392625,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4ccncc4)n[nH]c2-3)C(=O)O1,IC50,'=',1000.0,nM,6.0,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4ccncc4)n[nH]c2-3)C(=O)O1
726,CHEMBL2417982,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3O[C@H](CSCCOCCSSCCOCCSCC(=O)N[C@H](CO)[C@H](O)c4ccc([N+](=O)[O-])cc4)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,IC50,'=',1000.0,nM,6.0,,F,Inhibition of protein synthesis in Escherichia coli S30 extracts after 90 mins by coupled transcription/translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,6.0,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3O[C@H](CSCCOCCSSCCOCCSCC(=O)N[C@H](CO)[C@H](O)c4ccc([N+](=O)[O-])cc4)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
1380,CHEMBL3623166,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CNCc1ccccc1,IC50,'=',1000.0,nM,6.0,,F,Inhibition of transcription-translation process in Escherichia coli,Escherichia coli,,Escherichia coli,Escherichia coli,ACS Med Chem Lett,6.0,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CNCc1ccccc1
731,CHEMBL3215983,CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2ncccn2)NC1=O.Cl.Cl,IC50,'=',1000.0,nM,6.0,,F,Inhibitory activity tested against procaryotic translation in Escherichia coli S30 Extract System,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2ncccn2)NC1=O.Cl.Cl
210,CHEMBL543836,CC(N)CCC(N)CC(=O)N(C)C1CN=C(NC(N)=O)NC1=O.Cl.Cl,IC50,'=',1000.0,nM,6.0,,F,In vitro inhibition of procaryotic translation using Escherichia coli S30 Extract system for Circular DNA.,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CC(N)CCC(N)CC(=O)N(C)C1CN=C(NC(N)=O)NC1=O.Cl.Cl
1193,CHEMBL245279,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4cccnc4)n[nH]c2-3)C(=O)O1,IC50,'=',1000.0,nM,6.0,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4cccnc4)n[nH]c2-3)C(=O)O1
1143,CHEMBL440141,CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2nc3ccccc3[nH]2)NC1=O,IC50,'=',1000.0,nM,6.0,,F,Inhibitory activity tested against procaryotic translation in Escherichia coli S30 Extract System,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2nc3ccccc3[nH]2)NC1=O
292,CHEMBL184625,Cc1nc2ccc(C(=O)Nc3cccc(-c4ccc(C(=O)NC(C(=O)N5CCNCC5)c5ccc(OCCCN(C)C)cc5)o4)c3)cc2nc1C,IC50,'=',1000.0,nM,6.0,,F,In vitro dissociation constant of compound required for inhibition of Escherichia coli translation was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,Cc1nc2ccc(C(=O)Nc3cccc(-c4ccc(C(=O)NC(C(=O)N5CCNCC5)c5ccc(OCCCN(C)C)cc5)o4)c3)cc2nc1C
275,CHEMBL539356,CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)Nc4ccc(Nc5nc(N6C[C@H](N)C[C@H](N)C6)nc(N6C[C@H](N)C[C@H](N)C6)n5)cc4)cn1c23.Cl,IC50,'=',1000.0,nM,6.0,,F,Inhibition of transcription-translation activity in Escherichia coli,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,6.0,CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)Nc4ccc(Nc5nc(N6C[C@H](N)C[C@H](N)C6)nc(N6C[C@H](N)C[C@H](N)C6)n5)cc4)cn1c23.Cl
1535,CHEMBL4176023,C[C@H](NC(=O)/C(=C/CCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCN)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)[C@@H](O)CN)C(=O)NCCCCN,IC50,'=',1040.0,nM,5.98,,F,Inhibition of bacterial protein synthesis in cell-free Escherichia coli incubated for 1 hr and measured for every 20 mins by bacterial cell-free transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.982966660701219,C[C@H](NC(=O)/C(=C/CCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCN)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)[C@@H](O)CN)C(=O)NCCCCN
683,CHEMBL372795,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,IC50,'=',1050.0,nM,5.98,,F,Antimicrobial activity against Escherichia coli CGMCC 1.2340,Escherichia coli,,Escherichia coli,Escherichia coli,J Nat Prod,5.978810700930062,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
1667,CHEMBL4171118,N=C(N)NCC/C=C(\NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCN)NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN,IC50,'=',1060.0,nM,5.97,,F,Inhibition of bacterial protein synthesis in cell-free Escherichia coli incubated for 1 hr and measured for every 20 mins by bacterial cell-free transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.97469413473523,N=C(N)NCC/C=C(\NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCN)NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN
227,CHEMBL247939,CCc1n[nH]c2c1CCCc1cc(N3C[C@H](CNC(C)=O)OC3=O)ccc1-2,IC50,'=',1100.0,nM,5.96,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.958607314841775,CCc1n[nH]c2c1CCCc1cc(N3C[C@H](CNC(C)=O)OC3=O)ccc1-2
230,CHEMBL206297,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](OC(=O)CC(=O)N(C)CCN(C)C)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,'=',1100.0,nM,5.96,,F,Inhibition of protein synthesis in Escherichia coli cell-free translational system,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.958607314841775,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](OC(=O)CC(=O)N(C)CCN(C)C)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
1424,CHEMBL4228115,Nc1ncc(-c2ccc(Cl)cc2)n1CCCCCCCCn1c(-c2ccc(Cl)cc2)cnc1N,IC50,'=',1100.0,nM,5.96,,F,Antibiofilm activity against Escherichia coli TG1 after 24 hrs by crystal violet staining based assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem,5.958607314841775,Nc1ncc(-c2ccc(Cl)cc2)n1CCCCCCCCn1c(-c2ccc(Cl)cc2)cnc1N
228,CHEMBL245488,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4cscn4)n[nH]c2-3)C(=O)O1,IC50,'=',1100.0,nM,5.96,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.958607314841775,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4cscn4)n[nH]c2-3)C(=O)O1
161,CHEMBL401927,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H]3OC4[C@@H](O)[C@H](N)C[C@H](N)[C@H]4O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4NC[C@H]2O3)[C@H](N)[C@@H](O)[C@@H]1O,IC50,'=',1100.0,nM,5.96,,F,Antitranslation activity in Escherichia coli extract rRNA S30 assessed as inhibition of luciferase expression by transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Antimicrob Agents Chemother,5.958607314841775,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H]3OC4[C@@H](O)[C@H](N)C[C@H](N)[C@H]4O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4NC[C@H]2O3)[C@H](N)[C@@H](O)[C@@H]1O
1481,CHEMBL3621801,CC(CN)CNC[C@H](O)C[C@@H](N)CC(=O)NN(C)CC(=O)O,IC50,'=',1100.0,nM,5.96,,F,Inhibition of transcription-translation process in Escherichia coli,Escherichia coli,,Escherichia coli,Escherichia coli,ACS Med Chem Lett,5.958607314841775,CC(CN)CNC[C@H](O)C[C@@H](N)CC(=O)NN(C)CC(=O)O
1666,CHEMBL4161314,N=C(N)NCC/C=C(\NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCN)NC(=O)CNC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN,IC50,'=',1100.0,nM,5.96,,F,Inhibition of bacterial protein synthesis in cell-free Escherichia coli incubated for 1 hr and measured for every 20 mins by bacterial cell-free transcription-translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.958607314841775,N=C(N)NCC/C=C(\NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CCCN)NC(=O)CNC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)CN)C(=O)N[C@@H](CCCCN)C(=O)NCCCCN
393,CHEMBL203272,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](OC(=O)CC(=O)OCc3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,'=',1100.0,nM,5.96,,F,Inhibition of protein synthesis in Escherichia coli cell-free translational system,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.958607314841775,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](OC(=O)CC(=O)OCc3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
782,CHEMBL376629,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCC/C(=C\c2ccsc2)C3=O)C(=O)O1,IC50,'=',1100.0,nM,5.96,,F,Antibacterial activity against Escherichia coli by transcription and translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.958607314841775,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCC/C(=C\c2ccsc2)C3=O)C(=O)O1
333,CHEMBL3261883,CC(C)=CCC/C(C)=C/CNCCCOC1C2CC3CC(C2)CC1C3,IC50,'=',1100.0,nM,5.96,,F,Induction of collapse in deltapH in Escherichia coli inverted membrane vesicles by 31P NMR spectroscopy,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.958607314841775,CC(C)=CCC/C(C)=C/CNCCCOC1C2CC3CC(C2)CC1C3
1433,CHEMBL409461,CCCCC[C@H]1CN[C@@H]1C(=O)N[C@@H]([C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O)[C@H](C)Cl,IC50,'=',1130.0,nM,5.95,,F,Inhibition of protein synthesis in Escherichia coli by transcription/translation inhibition assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.94692155651658,CCCCC[C@H]1CN[C@@H]1C(=O)N[C@@H]([C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O)[C@H](C)Cl
674,CHEMBL1922355,CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(NC(=O)CCCCC(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)[C@H]([C@@H](O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C,IC50,'=',1200.0,nM,5.92,,F,Antibacterial activity against Escherichia coli S30 assessed as inhibition of protein synthesis after 75 mins by luminescence analysis,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.920818753952375,CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(NC(=O)CCCCC(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)[C@H]([C@@H](O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C
1857,CHEMBL5196659,C[n+]1cccc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cc2)c1.[Cl-],IC50,'=',1200.0,nM,5.92,,F,Antibacterial activity against efflux pump lacking Escherichia coli assessed as inhibition of bacterial growth,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.920818753952375,C[n+]1cccc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cc2)c1.[Cl-]
653,CHEMBL553703,CN(C(=O)C[C@@H](N)CCN=C(N)N)C1CN=C(NC(N)=O)NC1=O.Cl.Cl,IC50,'=',1200.0,nM,5.92,,F,In vitro inhibition of eucaryotic translation using Escherichia coli S30 Extract system for Circular DNA.,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.920818753952375,CN(C(=O)C[C@@H](N)CCN=C(N)N)C1CN=C(NC(N)=O)NC1=O.Cl.Cl
1559,CHEMBL5174558,Cc1nn(C)c(C)c1C#Cc1ccc(N2C[C@H](CO)OC2=O)cc1F,IC50,'=',1200.0,nM,5.92,,F,Antibacterial activity against recombinant OM pore producing Escherichia coli assessed as inhibition of bacterial growth,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.920818753952375,Cc1nn(C)c(C)c1C#Cc1ccc(N2C[C@H](CO)OC2=O)cc1F
1209,CHEMBL247737,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(C)n[nH]c2-3)C(=O)O1,IC50,'=',1200.0,nM,5.92,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.920818753952375,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(C)n[nH]c2-3)C(=O)O1
130,CHEMBL273401,O=c1[nH]c(=O)n(COCCO)cc1F,IC50,'=',1200.0,nM,5.92,,F,In vitro inhibition of Escherichia coli K-12 growth.,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,5.920818753952375,O=c1[nH]c(=O)n(COCCO)cc1F
1079,CHEMBL248903,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(NCCO)n[nH]c2-3)C(=O)O1,IC50,'=',1200.0,nM,5.92,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.920818753952375,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(NCCO)n[nH]c2-3)C(=O)O1
643,CHEMBL380436,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](OC(=O)CC(=O)OCc3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,'=',1200.0,nM,5.92,,F,Inhibition of protein synthesis in Escherichia coli cell-free translational system,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.920818753952375,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](OC(=O)CC(=O)OCc3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
113,CHEMBL249078,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(N)n[nH]c2-3)C(=O)O1,IC50,'=',1200.0,nM,5.92,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.920818753952375,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(N)n[nH]c2-3)C(=O)O1
1216,CHEMBL220356,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCC/C(=C\c2ccc(OCCCN(C)C)cc2)C3=O)C(=O)O1,IC50,'=',1200.0,nM,5.92,,F,Antibacterial activity against Escherichia coli by transcription and translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.920818753952375,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCC/C(=C\c2ccc(OCCCN(C)C)cc2)C3=O)C(=O)O1
304,CHEMBL1911803,CC(C)(C)OC(=O)N(Cc1ccccc1)CC(OS(=O)(=O)c1cccc2ccccc12)c1ccccc1,IC50,'=',1260.0,nM,5.9,,F,Antibacterial activity against Escherichia coli ATCC 9637 by broth microdilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.8996294548824375,CC(C)(C)OC(=O)N(Cc1ccccc1)CC(OS(=O)(=O)c1cccc2ccccc12)c1ccccc1
1087,CHEMBL4074141,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](NCc3cn(CC(O)CN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)nn3)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',1270.0,nM,5.9,,F,Inhibition of protein translation in Escherichia coli S30 cell extract using circular DNA with pBESTluc after 60 mins,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem,5.896196279044043,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](NCc3cn(CC(O)CN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)nn3)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O
438,CHEMBL537678,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)Nc2ccc(Nc4nc(N5C[C@H](N)C[C@H](N)C5)nc(N5C[C@H](N)C[C@H](N)C5)n4)cc2)cn3C2CC2)CC1.Cl,IC50,'=',1300.0,nM,5.89,,F,Inhibition of transcription-translation activity in Escherichia coli,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.886056647693163,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)Nc2ccc(Nc4nc(N5C[C@H](N)C[C@H](N)C5)nc(N5C[C@H](N)C[C@H](N)C5)n4)cc2)cn3C2CC2)CC1.Cl
856,CHEMBL1683509,C/N=C(/NC)NCCC[C@H](N)CC(=O)N(C)C1CNC(NC(N)=O)=NC1=O,IC50,'=',1300.0,nM,5.89,,F,Inhibition of protein translation in Escherichia coli S30 cell extract,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.886056647693163,C/N=C(/NC)NCCC[C@H](N)CC(=O)N(C)C1CNC(NC(N)=O)=NC1=O
110,CHEMBL400479,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(NC(=O)CO)n[nH]c2-3)C(=O)O1,IC50,'=',1300.0,nM,5.89,,F,Inhibition of transcription and translation activity in Escherichia coli by luciferase reporter assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.886056647693163,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(NC(=O)CO)n[nH]c2-3)C(=O)O1
968,CHEMBL400462,CN(C)c1ccc(C(=O)Nc2ccc(-c3nc4ccc([N+](=O)[O-])cc4n3O)cc2)cc1,IC50,'=',1300.0,nM,5.89,,F,Inhibition of Escherichia coli Rob binding to DNA,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,5.886056647693163,CN(C)c1ccc(C(=O)Nc2ccc(-c3nc4ccc([N+](=O)[O-])cc4n3O)cc2)cc1
